event,debit_project,debit_subproject,debit_amount,credit_project,credit_suproject,credit_amount
公司开出现金支票，从银行提取现金5000元，以用于零星开支,库存现金,,5000,,,
,银行存款,,,,,5000
有限公司用现金200元购买办公用品 ,管理费用,,200,,,
,库存现金,,,,,200
公司行政管理部门职工王刚，因公差预借备用金350元。（企业不单独设立备用金科目） ,其他应收款,备用金（王刚）,350,,,
,库存现金,,,,,350
王刚预借备用金350，实际支出200元，剩余现金150元交回财会部门。,管理费用,,150,,,
,库存现金,,,,,150
公司在对现金进行清查时，发现短缺60元。上述现金短缺，无法查明原因。 ,待处理财产损溢,待处理流动资产损溢,60,,,
,库存现金,,,,,60
职工张某三凭证审核的发票报销差旅费，单位支付其现金970元,管理费用,,970,,,
,库存现金,,,,,970
职工王五报销医药费830元，单位以现金付讫,应付职工薪酬,,830,,,
,库存现金,,,,,830
职工王二报销医药费1679元，单位以现金支票付讫,应付职工薪酬,,1679,,,
,银行存款 ,,,,,1679
职工出差借差旅费，单位交付其现金900元 ,其他应收款,,900,,,
,库存现金,,,,,900
支付需安装的新生产线的安装费12000元，以银行存款支付,在建工程,,12000,,,
,银行存款 ,,,,,12000
用银行转账的形式支付本期工资87000元,应付职工薪酬,工资,87000,,,
,银行存款 ,,,,,87000
用银行存款支付本期工资68000 ,应付职工薪酬,工资,68000,,,
,银行存款 ,,,,,68000
用银行存款缴纳本期应交增值税28900元 ,应交税金,应交增值税（已交税金）,28900,,,
,银行存款 ,,,,,28900
用银行存款的形式偿还前期应付票据8000元 ,应付票据,,8000,,,
,银行存款 ,,,,,8000
用银行存款偿还上期购货欠货款43100元,应付账款,,43100,,,
,银行存款 ,,,,,43100
用银行存款200000偿还机器设备的购置费,应付账款,,200000,,,
,银行存款 ,,,,,200000
用银行存款175400元取得一项专利权,无形资产,,175400,,,
,银行存款 ,,,,,175400
用现金支付本期工资99000元,应付职工薪酬,工资,99000,,,
,库存现金,,,,,99000
用现金700元购办公用品,管理费用,,700,,,
,库存现金,,,,,700
以银行转账的形式支付本期工资93000元 ,应付职工薪酬,工资,93000,,,
,银行存款 ,,,,,93000
以银行存款支付销售乙商品应负担的运输费87000元,销售费用,,87000,,,
,银行存款,,,,,87000
以银行存款支付销售商品的广告费59000元,销售费用,,59000,,,
,银行存款 ,,,,,59000
以银行存款支付销售甲商品应负担的运输费9000元,销售费用,,9000,,,
,银行存款,,,,,9000
以银行存款支付退休金30000元 ,管理费用,,30000,,,
,银行存款,,,,,30000
以银行存款支付短期借款利息6000元(尚未计提) ,财务费用,,6000,,,
,银行存款,,,,,6000
以银行存款支付到期的应付票据70000元 ,应付票据,,70000,,,
,银行存款 ,,,,,70000
以银行存款支付本期生产甲乙两商品共同耗用的水电费10000元,制造费用,,10000,,,
,银行存款,,,,,10000
以银行存款缴纳已计提的应付所得税10000元 ,应交税金,应交增值税,10000,,,
,银行存款,,,,,10000
期末盘盈存货(A原材料)90000元，原因尚未查明,原材料,A材料,90000,,,
,待处理财产损益,,,,,90000
期末结转本期已销售乙商品成本为79500元,主营业务成本,,79500,,,
,库存商品,,,,,79500
期末结转本期已销售乙商品成本为188844元 ,主营业务成本,,188844,,,
,库存商品,,,,,188844
经批准，将上期期末盘亏存货8000元转作管理费用,管理费用,,8000,,,
,待处理财产损益,,,,,8000
结转销售的多余生产用A材料成本9100元 ,其他业务成本,,9100,,,
,原材料,,,,,9100
购置一条安装的新生产线价值250000元，以银行支票支付 ,在建工程,,250000,,,
,银行存款 ,,,,,250000
购置一台大型机器设备价值200000，款未付,固定资产,,200000,,,
,应付账款,,,,,200000
购置一台大型机器设备价值150000元，以银行承税汇票支付,固定资产,,150000,,,
,应付票据,,,,,150000
购买电脑一台价值8000元 ,固定资产,,8000,,,
,银行存款 ,,,,,8000
单位提取现金800元备用,库存现金,,800,,,
,银行存款 ,,,,,800
单位办公室报销会务费8600元，以现金支票支付,管理费用,,8600,,,
,银行存款 ,,,,,8600
从银行提取现金99000元,库存现金,,99000,,,
,银行存款 ,,,,,99000
从银行取得一笔200000元的短期借款，款存银行,银行存款 ,,200000,,,
,短期借款,,,,,200000
偿还前期欠货款220000元，用银行存款支付,应付账款,,220000,,,
,银行存款 ,,,,,220000
收到外商投资计80 000元存入银行。,银行存款 ,,80000,,,
,实收资本,外商资本金,,,,80000
收到国家投入全新的机器设备一台，价值34 000元。 ,固定资产,,34000,,,
,实收资本 ,国家资本金,,,,34000
以银行存款2 000元归还到期的银行借款(借款期为半年),短期借款,,2000,,,
,银行存款 ,,,,,2000
开出现金支票20000元偿还前欠红光工厂的材料款。 ,应付账款,红光工厂,20000,,,
,银行存款 ,,,,,20000
向银行借入1000000元，期限三年，款已入账,银行存款 ,,1000000,,,
,长期借款,,,,,1000000
收到A公司捐赠的专利权一项，价值50000元,无形资产,,50000,,,
,营业外收入,捐赠收入,,,,50000
用转账支票上交增值税2200元,应交税费,应交增值税,2200,,,
,银行存款 ,,,,,2200
向银行借款(期限9个月)2 000元，偿还前欠振华工厂购料款,应付账款,,2000,,,
,短期借款,,,,,2000
通过银行支付职工工资100000元,应付职工薪酬,,100000,,,
,银行存款 ,,,,,10000
红星公司同意将公司所欠B公司货款10 000元转作对本企业的投人资本,应付账款,红星公司,10000,,,
,实收资本 ,法人资本金,,,,10000
商业汇票50000到期，以银行存款支付,应付票据,,50000,,,
,银行存款 ,,,,,50000
以银行存款支付现金股利100000元,应付股利,,100000,,,
,银行存款,,,,,100000
银行承兑汇票117000元到期，用银行存款偿还,应付票据,银行承兑汇票,117000,,,
,银行存款 ,,,,,117000
采购员李力预借差旅费2000元，现金付讫,其他应收款,李力,2000,,,
,库存现金,,,,,2000
李力出差回厂报销差旅费2000元,管理费用,,2000,,,
,其他应收款,李力,,,,2000
从银行提取现金60000元，备发工资,库存现金,,60000,,,
,银行存款 ,,,,,60000
以现金发放本月职工工资60000元,应付职工薪酬,,60000,,,
,库存现金,,,,,60000
开出现金支票支付行政管理部门办公用品费1000元,管理费用,,100000,,,
,银行存款 ,,,,,100000
以银行存款支付车间办公用品费500元,制造费用,,500,,,
,银行存款 ,,,,,500
以银行存款支付车间机器设备的修理费800元,制造费用,,800,,,
,银行存款 ,,,,,800
车间职工回厂报销差旅费1200元，以现金支付,制造费用,,1200,,,
,库存现金,,,,,1200
支付银行利息2000元，已通过银行转账,财务费用,,2000,,,
,银行存款 ,,,,,2000
以银行存款支付销售A、B产品的广告费1000元,销售费用,,1000,,,
,银行存款 ,,,,,1000
结转本月销售丙材料的成本5000元,其他业务成本,丙材料,5000,,,
,原材料,丙材料,,,,5000
以银行存款支付汇兑手续费900元,财务费用,,900,,,
,银行存款 ,,,,,900
收到销售B产品的价款56160元，存入银行,银行存款 ,,56160,,,
,应收账款,,,,,56160
以银行存款支付外地专设销售机构的经费5000元,销售费用,,5000,,,
,银行存款 ,,,,,5000
红星公司通过银行预付A产品货款80000元,银行存款 ,,80000,,,
,预收账款,红星公司,,,,80000
接收A公司投入机器一台，价值30000元,固定资产,,30000,,,
,实收资本 ,法人资本金,,,,30000
企业对外投资收到其他单位交来的投资收益10000元，存入银行,银行存款 ,,10000,,,
,投资收益,,,,,10000
按规定应支付给投资者利润5000元,利润分配,应付股利,5000,,,
,应付股利,,,,,5000
以银行存款支付投资者利润5000元,应付股利,,5000,,,
,银行存款 ,,,,,5000
开出现金支票从银行提取现金2000元备用,库存现金,,2000,,,
,银行存款 ,,,,,2000
用现金支付生产车间办公用品费440元,制造费用,,440,,,
,库存现金,,,,,440
收到盛达公司前欠货款80000元，存入银行,银行存款 ,,80000,,,
,应收账款,盛达公司,,,,80000
接到开户银行的通知，收到光明公司前欠货款150000元,银行存款 ,,150000,,,
,应收账款,光明工厂,,,,150000
接到开户银行的通知，胜利工厂签发并承兑的商业汇票已到期，收到胜利工厂支付的票据款120000元,银行存款 ,,120000,,,
,应收票据,胜利工厂,,,,120000
向宏达公司购买一批甲材料，按合同规定，东方公司用银行存款预付购货款50000元,预付账款,宏达公司,50000,,,
,银行存款 ,,,,,50000
厂部办公室张强因公出差，预借差旅费800元，付以现金,其他应收款,张强,800,,,
,库存现金,,,,,800
用银行存款支付公司下年度的报刊订阅费1200元,待摊费用,,1200,,,
,银行存款 ,,,,,1200
从市场上购入一台设备，价值100000元，设备已收到并交付生产使用，款项已通过银行支付,固定资产,,100000,,,
,银行存款 ,,,,,100000
用银行存款240000元从其他单位购入一项专利权,无形资产,专利权,240000,,,
,银行存款 ,,,,,240000
专利权分10年平均摊销，本月的摊销额为2000元,管理费用,,2000,,,
,无形资产,专利权,,,,2000
东方公司原借中国银行的一笔短期借款到期，本金500000元，用银行存款归还,短期借款,中国银行,500000,,,
,银行存款 ,,,,,500000
用银行存款支付上述欠新华公司的购料款81900元,应付账款,新华公司,81900,,,
,银行存款 ,,,,,81900
用现金发放本月份职工工资24000元,应付职工薪酬,,24000,,,
,库存现金,,,,,24000
职工李明报销医药费300元，经批准后用现金支付,应付福利费,,300,,,
,库存现金,,,,,300
计提本月份应负担的短期借款利息4000元,财务费用,,4000,,,
,预提费用,,,,,4000
用银行存款支付第四季度的银行借款利息10000元，该利息已按月预提,预提费用,,10000,,,
,银行存款 ,,,,,10000
 结转本月份销售乙材料的成本30000元,其他业务支出,,30000,,,
,原材料,乙材料,,,,30000
银行存款支付本月份销售A、B产品的运输费、包装费、保险费等计15000元,营业费用,,15000,,,
,银行存款 ,,,,,15000
因对外投资收到投资单位分来的投资利润220000元，存入银行,银行存款 ,,220000,,,
,投资收益,,,,,220000
取得罚款收入3000元，存入银行,银行存款 ,,3000,,,
,营业外收入,,,,,3000
向希望工程捐赠人民币150000元，款项已通过银行支付,营业外支出,,150000,,,
,银行存款 ,,,,,150000
结转企业全年实现的净利润817704. 85元,本年利润,,817704. 85,,,
,利润分配,,,,,817704. 85
按净利润的10%提取法定盈余公积81770.49元,利润分配,,81770.49,,,
,盈余公积,,,,,81770.49
经董事会决定向投资者分配股利400000元,利润分配,,400000,,,
,应付股利,,,,,400000
